id;nom;prenom;libelle_long;libelle_court;email;telephone;keycloak_user_id;commentaire;actif
1;boum malgré bien que;minuscule mal tuer;ensemble;hors;Gabriel64@hotmail.fr;+33 651050617;pauvre;tandis que orange;true
2;atteindre;à raison de;agir;derrière coin-coin;Arnaude_Bertrand31@yahoo.fr;0269233585;sitôt que si bien que;loufoque quand ? tant que;true
3;à force de de;croire;direction simple arranger;lâche spécialiste en faveur de;Constantin_Nguyen@hotmail.fr;0109452896;équipe de recherche;autour de;false
4;tic-tac oh;excuser;dessous;téléphoner pff;Bohemond91@yahoo.fr;0466575977;bien que;charitable;true
5;absolument administration selon;exploser;au lieu de malgré;aussi viser de crainte que;Victoire.Lucas@yahoo.fr;+33 163489696;quelque affable invoquer;à condition que grâce à;false
6;serviable aux alentours de;passablement trop peu;vis-à-vie de;moquer électorat avant de;Arnaude66@gmail.com;+33 168273152;commis parfois enfin;électorat à moins de;false
7;traiter autour de membre du personnel;tant;émérite;adepte en outre de pour;Matthias32@yahoo.fr;+33 199043462;rose là main-d’œuvre;drelin dès que aussitôt que;true
8;foncer;jusqu’à ce que personnel;renforcer;grâce à équipe;Azalee_Perrot88@hotmail.fr;0101448756;jusqu’à ce que adepte solitaire;insuffisamment antagoniste;false
9;candide assez ferme;fade;à partir de debout ça;svelte à l'égard de;Margot16@hotmail.fr;0409699782;coac coac changer;espiègle amorphe hirsute;true
10;gonfler autour coin-coin;porte-parole ouin concurrence;tantôt vraiment;hors de;Maxence58@hotmail.fr;+33 485312838;au cas où heurter davantage;équipe;false
