id;matricule;nom;prenom;particularite;date_naissance;email;telephone;annee_entree;cursus_acheve;annee_finale;keycloak_user_id;commentaire;actif
1;pendant que;afin que grrr fournir;de par brusque;de façon à ce que;2026-08-20;Segolene_Marty@yahoo.fr;0551871461;2099;false;1973;administration soudain tellement;âcre quoique;true
2;verser;du fait que rendre gestionnaire;au-dessus fidèle;du côté de;2026-08-20;Adalbert_David@gmail.com;0457047719;2059;false;2161;sage;élaborer;true
3;clac ouch;près adversaire biathlète;que de façon à ce que;hier fonctionnaire;2026-08-20;Daphne64@yahoo.fr;0231710013;2194;true;2059;assumer âcre durant;smack ding vraisemblablement;true
4;responsable;horrible;remplir aussitôt que;à l'instar de;2026-08-20;Edmee16@gmail.com;+33 636232628;2048;false;2185;blême emprunter vivace;tellement;true
5;membre titulaire biathlète;coupable;gouverner;grrr appuyer;2026-08-20;Titien82@yahoo.fr;0494238172;1913;true;2096;police crac vérifier;de peur que en face de cocorico;false
6;insolite;ouille calme lorsque;juriste;dire dès que;2026-08-20;Adrastee89@yahoo.fr;0741283194;1908;true;2042;en faveur de à l'insu de à l'entour de;dès que consulter;true
7;collègue dépasser;âcre;tendre;ronron;2026-08-20;Barbe.Dupont57@gmail.com;0658534328;2174;true;2180;au-dedans de;lectorat derrière;false
8;aimable;de façon que ha au dépens de;céans toc coac coac;si;2026-08-20;Arthaud.Arnaud7@hotmail.fr;0538439536;2103;true;2112;chez pacifique;déjà photographier;true
9;près de jusqu’à ce que au dépe;membre de l’équipe après;miam;aigre ouah;2026-08-20;Ange_Guillaume18@gmail.com;+33 563347594;2123;true;1943;au dépens de diététiste pin-pon;que au défaut de gueuler;true
10;outre raide actionnaire;pin-pon;effondrer;conseiller;2026-08-20;Ansberte.Faure39@hotmail.fr;+33 431089344;2082;false;2029;tic-tac ouille touriste;cot cot biathlète;true
